track_name,artist_name,genre,energy,danceability,valence,Human_Vibe_Tag,Discovery_Reason
Cruel Summer,Taylor Swift,Pop,0.79,0.8,0.57,Summer Vibe,Accessible entry point for general listeners.
Flowers,Miley Cyrus,Pop,0.77,0.72,0.49,Sad-Girl,Accessible entry point for general listeners.
Houdini,Dua Lipa,Pop,0.81,0.63,0.45,Anthemic,Accessible entry point for general listeners.
Vampire,Olivia Rodrigo,Pop,0.66,0.83,0.42,Summer Vibe,Accessible entry point for general listeners.
As It Was,Harry Styles,Pop,0.68,0.7,0.59,Anthemic,Accessible entry point for general listeners.
That's So True,Gracie Abrams,Pop,0.83,0.61,0.6,Radio-Friendly,Accessible entry point for general listeners.
Greedy,Tate McRae,Pop,0.52,0.64,0.55,Anthemic,Accessible entry point for general listeners.
we can't be friends,Ariana Grande,Pop,0.66,0.78,0.69,Upbeat,Accessible entry point for general listeners.
Eyes Closed,Ed Sheeran,Pop,0.71,0.63,0.45,Summer Vibe,Accessible entry point for general listeners.
Why Why Why,Shawn Mendes,Pop,0.6,0.74,0.7,Anthemic,Accessible entry point for general listeners.
Solar Power,Lorde,Pop,0.54,0.6,0.43,Summer Vibe,Accessible entry point for general listeners.
Heat Waves,Glass Animals,Pop,0.52,0.71,0.55,Sad-Girl,Accessible entry point for general listeners.
The Less I Know the Better,Tame Impala,Pop,0.58,0.71,0.65,Upbeat,Accessible entry point for general listeners.
Rush,Troye Sivan,Pop,0.61,0.62,0.89,Upbeat,Accessible entry point for general listeners.
Apple,Charli xcx,Pop,0.55,0.8,0.85,Summer Vibe,Accessible entry point for general listeners.
